iter	Passed	Remaining
0	58	58758
1	59	29481
2	59	19718
3	59	14833
4	59	11914
5	60	9961
6	60	8564
7	60	7514
8	60	6698
9	61	6045
10	61	5512
11	61	5067
12	61	4691
13	62	4368
14	62	4101
15	62	3864
16	63	3650
17	63	3464
18	63	3291
19	63	3135
20	64	2994
21	64	2866
22	64	2752
23	65	2646
24	65	2547
25	65	2455
26	65	2370
27	66	2292
28	66	2218
29	66	2150
30	66	2088
31	67	2028
32	67	1972
33	67	1919
34	67	1871
35	68	1824
36	68	1782
37	68	1741
38	69	1701
39	69	1664
40	69	1627
41	69	1594
42	70	1561
43	70	1529
44	70	1500
45	71	1488
46	72	1460
47	72	1434
48	72	1408
49	72	1384
50	73	1360
51	73	1337
52	73	1315
53	73	1293
54	74	1273
55	74	1254
56	74	1235
57	75	1218
58	75	1199
59	75	1182
60	75	1165
61	76	1150
62	76	1135
63	76	1119
64	76	1105
65	77	1091
66	77	1077
67	77	1064
68	77	1051
69	78	1038
70	78	1026
71	78	1015
72	79	1003
73	79	992
74	79	981
75	79	970
76	80	960
77	80	950
78	80	940
79	80	931
80	81	921
81	81	912
82	81	901
83	81	892
84	82	884
85	82	876
86	82	868
87	83	860
88	83	852
89	83	844
90	83	836
91	84	829
92	84	822
93	84	814
94	84	807
95	85	800
96	85	794
97	85	787
98	85	780
99	86	774
100	86	767
101	86	761
102	86	755
103	86	749
104	87	743
105	87	737
106	87	731
107	87	726
108	88	720
109	88	715
110	88	709
111	88	704
112	89	699
113	89	694
114	89	689
115	89	684
116	89	679
117	90	674
118	90	670
119	90	665
120	91	661
121	91	656
122	91	652
123	91	647
124	91	643
125	92	639
126	92	635
127	92	631
128	92	627
129	93	623
130	93	620
131	93	616
132	93	612
133	94	608
134	94	604
135	94	600
136	94	597
137	95	593
138	95	590
139	95	586
140	95	583
141	95	579
142	96	575
143	96	572
144	96	569
145	96	566
146	97	563
147	97	561
148	97	558
149	98	556
150	98	554
151	98	551
152	99	549
153	99	546
154	99	544
155	100	541
156	100	538
157	100	536
158	100	533
159	101	530
160	101	527
161	101	524
162	101	522
163	101	519
164	102	517
165	102	515
166	102	512
167	103	510
168	103	508
169	103	505
170	103	503
171	104	501
172	104	498
173	104	496
174	104	494
175	105	492
176	105	490
177	105	488
178	106	486
179	106	484
180	106	482
181	106	480
182	107	478
183	107	476
184	107	474
185	107	472
186	108	470
187	108	468
188	108	466
189	108	464
190	109	462
191	109	460
192	109	458
193	110	457
194	110	455
195	110	453
196	110	451
197	111	450
198	111	448
199	111	446
200	111	444
201	112	443
202	112	441
203	112	439
204	112	438
205	113	436
206	113	435
207	113	434
208	114	432
209	114	430
210	114	429
211	115	427
212	115	426
213	115	425
214	116	423
215	116	422
216	116	420
217	116	418
218	117	417
219	117	415
220	117	414
221	117	413
222	118	411
223	118	410
224	118	408
225	119	407
226	119	406
227	119	404
228	119	403
229	119	401
230	120	400
231	120	398
232	120	397
233	121	396
234	121	395
235	121	394
236	122	392
237	122	391
238	122	390
239	122	388
240	123	387
241	123	386
242	123	384
243	123	383
244	124	382
245	124	381
246	124	379
247	124	378
248	125	377
249	125	376
250	125	374
251	125	373
252	126	372
253	126	371
254	126	370
255	127	369
256	127	368
257	127	367
258	128	366
259	128	365
260	128	364
261	128	362
262	129	361
263	129	360
264	129	359
265	129	358
266	130	357
267	130	355
268	130	354
269	130	353
270	131	352
271	131	351
272	131	350
273	131	349
274	132	348
275	132	347
276	132	346
277	133	345
278	133	344
279	133	343
280	133	342
281	134	341
282	134	340
283	134	339
284	134	338
285	135	337
286	135	336
287	135	335
288	136	334
289	136	333
290	136	332
291	136	331
292	137	330
293	137	329
294	137	328
295	137	327
296	138	326
297	138	326
298	138	325
299	139	324
300	139	323
301	139	322
302	139	321
303	140	320
304	140	319
305	140	318
306	140	317
307	140	316
308	141	315
309	141	314
310	141	313
311	141	312
312	142	312
313	142	311
314	142	310
315	142	309
316	143	308
317	143	307
318	143	307
319	144	306
320	144	305
321	144	304
322	144	303
323	145	302
324	145	301
325	145	300
326	145	300
327	146	299
328	146	298
329	146	297
330	146	296
331	147	295
332	147	295
333	147	294
334	147	293
335	148	292
336	148	291
337	148	290
338	148	290
339	149	289
340	149	288
341	149	288
342	150	287
343	150	286
344	150	285
345	150	285
346	151	284
347	151	283
348	151	282
349	151	281
350	152	281
351	152	280
352	152	279
353	152	278
354	153	278
355	153	277
356	153	276
357	153	276
358	154	275
359	154	274
360	154	273
361	155	273
362	155	272
363	155	271
364	155	270
365	155	270
366	156	269
367	156	268
368	156	267
369	156	267
370	157	266
371	157	265
372	157	264
373	157	264
374	158	263
375	158	262
376	158	262
377	158	261
378	159	260
379	159	259
380	159	259
381	159	258
382	160	258
