iter	Passed	Remaining
0	0	404
1	0	363
2	1	337
3	1	316
4	1	302
5	1	295
6	2	292
7	2	310
8	2	318
9	3	325
10	3	332
11	3	327
12	4	324
13	4	318
14	4	313
15	5	311
16	5	310
17	5	309
18	5	308
19	6	306
20	6	304
21	6	302
22	7	300
23	7	300
24	7	298
25	7	298
26	8	300
27	8	303
28	9	305
29	9	306
30	9	304
31	10	302
32	10	300
33	10	299
34	10	297
35	11	296
36	11	296
37	11	296
38	11	294
39	12	292
40	12	292
41	12	291
42	13	290
43	13	289
44	13	288
45	13	287
46	14	286
47	14	285
48	14	284
49	14	283
50	15	282
51	15	281
52	15	280
53	16	280
54	16	279
55	16	278
56	16	277
57	17	276
58	17	275
59	17	274
60	17	274
61	18	274
62	18	274
63	18	273
64	19	273
65	19	274
66	19	274
67	19	273
68	20	273
69	20	273
70	20	272
71	21	271
72	21	271
73	21	270
74	21	269
75	22	268
76	22	268
77	22	267
78	22	267
79	23	267
80	23	266
81	23	266
82	23	264
83	24	263
84	24	262
85	24	262
86	24	261
87	25	260
88	25	259
89	25	259
90	25	259
91	26	259
92	26	258
93	26	258
94	27	257
95	27	257
96	27	256
97	27	256
98	28	255
99	28	255
100	28	254
101	28	254
102	29	253
103	29	253
104	29	252
105	29	252
106	30	251
107	30	251
108	30	251
109	31	250
110	31	250
111	31	250
112	31	249
113	32	249
114	32	248
115	32	248
116	32	247
117	33	246
118	33	246
119	33	245
120	33	245
121	33	244
122	34	243
123	34	243
124	34	242
125	34	242
126	35	241
127	35	240
128	35	240
129	35	239
130	36	239
131	36	238
132	36	238
133	36	237
134	36	237
135	37	236
136	37	235
137	37	235
138	37	235
139	38	234
140	38	234
141	38	233
142	38	232
143	39	232
144	39	231
145	39	231
146	39	231
147	40	230
148	40	230
149	40	229
150	40	229
151	41	228
152	41	228
153	41	227
154	41	227
155	41	227
156	42	226
157	42	226
158	42	225
159	42	225
160	43	224
161	43	223
162	43	223
163	43	223
164	44	223
165	44	223
166	44	222
167	44	222
168	45	222
169	45	222
170	45	221
171	46	221
172	46	221
173	46	220
174	46	220
175	47	220
176	47	220
177	47	220
178	48	220
179	48	220
180	48	220
181	48	219
182	49	219
183	49	219
184	49	219
185	49	218
186	50	218
187	50	218
188	50	217
189	51	217
190	51	217
191	51	216
192	51	216
193	52	216
194	52	216
195	52	215
196	52	215
197	53	215
198	53	214
199	53	214
200	53	214
201	54	214
202	54	214
203	54	213
204	55	213
205	55	213
206	55	213
207	55	212
208	56	212
209	56	212
210	56	211
211	56	211
212	57	210
213	57	210
214	57	210
215	57	210
216	58	210
217	58	209
218	58	209
219	58	209
220	59	208
221	59	208
222	59	208
223	60	207
224	60	207
225	60	207
226	60	207
227	61	206
228	61	206
229	61	206
230	61	206
231	62	205
232	62	205
233	62	205
234	62	204
235	63	204
236	63	204
237	63	204
238	63	203
239	64	203
240	64	202
241	64	202
242	64	202
243	65	201
244	65	201
245	65	201
246	65	201
247	66	200
248	66	200
249	66	200
250	66	199
251	67	199
252	67	199
253	67	199
254	68	198
255	68	198
256	68	198
257	68	197
258	69	197
259	69	197
260	69	197
261	69	196
262	70	196
263	70	196
264	70	195
265	70	195
266	71	195
267	71	195
268	71	194
269	71	194
270	72	194
271	72	194
272	72	194
273	73	193
274	73	193
275	73	193
276	73	192
277	74	192
278	74	192
279	74	191
280	74	191
281	75	191
282	75	190
283	75	190
284	75	190
285	76	190
286	76	189
287	76	189
288	76	189
289	77	189
290	77	188
291	77	188
292	77	188
293	78	188
294	78	187
295	78	187
296	79	187
297	79	186
298	79	186
299	79	186
300	80	185
301	80	185
302	80	185
303	80	185
304	81	184
305	81	184
306	81	184
307	81	183
308	82	183
309	82	183
310	82	183
311	83	183
312	83	182
313	83	182
314	83	182
315	84	181
316	84	181
317	84	181
318	84	180
319	85	180
320	85	180
321	85	180
322	85	179
323	86	179
324	86	179
325	86	178
326	86	178
327	87	178
328	87	178
329	87	177
330	87	177
331	88	177
332	88	176
333	88	176
334	88	176
335	89	175
336	89	175
337	89	175
338	89	175
339	90	174
340	90	174
341	90	174
342	90	174
343	91	173
344	91	173
345	91	173
346	92	173
347	92	172
348	92	172
349	92	172
350	93	172
351	93	171
352	93	171
353	93	171
354	94	170
355	94	170
356	94	170
357	94	170
358	95	169
359	95	169
360	95	169
361	95	168
362	96	168
363	96	168
364	96	168
365	96	167
366	97	167
367	97	167
368	97	166
369	97	166
370	98	166
371	98	166
372	98	166
373	99	165
374	99	165
375	99	165
376	99	164
377	100	164
378	100	164
379	100	164
380	100	163
381	101	163
382	101	163
383	101	163
384	102	163
385	102	163
386	102	162
387	103	162
388	103	162
389	103	162
390	103	161
391	104	161
392	104	161
393	104	160
394	104	160
395	105	160
396	105	160
397	105	159
398	105	159
399	106	159
400	106	159
401	106	158
402	106	158
403	107	158
404	107	157
405	107	157
406	108	157
407	108	157
408	108	156
409	108	156
410	108	156
411	109	155
412	109	155
413	109	155
414	109	154
415	110	154
416	110	154
417	110	154
418	110	153
419	111	153
420	111	153
421	111	152
422	111	152
423	112	152
424	112	152
425	112	151
426	112	151
427	113	151
428	113	150
429	113	150
430	113	150
431	114	150
432	114	150
433	114	149
434	115	149
435	115	149
436	115	149
437	116	148
438	116	148
439	116	148
440	116	148
441	117	147
442	117	147
443	117	147
444	118	147
445	118	147
446	119	147
447	119	147
448	119	146
449	120	146
450	120	146
451	120	146
452	121	146
453	121	145
454	121	145
455	121	145
456	122	145
457	122	144
458	122	144
459	122	144
460	123	144
461	123	143
462	123	143
463	123	143
464	124	142
465	124	142
466	124	142
467	125	142
468	125	141
469	125	141
470	125	141
471	126	141
472	126	140
473	126	140
474	126	140
475	127	139
476	127	139
477	127	139
478	127	139
479	128	138
480	128	138
481	128	138
482	128	138
483	129	137
484	129	137
485	129	137
486	130	136
487	130	136
488	130	136
489	130	136
490	131	135
491	131	135
492	131	135
493	131	135
494	132	134
495	132	134
496	132	134
497	132	133
498	133	133
499	133	133
500	133	133
501	133	132
502	134	132
503	134	132
504	134	131
505	134	131
506	135	131
507	135	131
508	135	130
509	135	130
510	136	130
511	136	129
512	136	129
513	136	129
514	137	129
515	137	128
516	137	128
517	137	128
518	138	128
519	138	127
520	138	127
521	138	127
522	139	126
523	139	126
524	139	126
525	139	126
526	140	125
527	140	125
528	140	125
529	141	125
530	141	124
531	141	124
532	141	124
533	142	123
534	142	123
535	142	123
536	142	123
537	143	122
538	143	122
539	143	122
540	143	122
541	144	121
542	144	121
543	144	121
544	144	120
545	145	120
546	145	120
547	145	120
548	146	120
549	146	120
550	147	119
551	147	119
552	147	119
553	147	119
554	148	118
555	148	118
556	148	118
557	148	117
558	149	117
559	149	117
560	150	117
561	150	117
562	150	116
563	150	116
564	151	116
565	151	116
566	151	115
567	151	115
568	152	115
569	152	114
570	152	114
571	152	114
572	153	114
573	153	113
574	153	113
575	153	113
576	154	112
577	154	112
578	154	112
579	154	112
580	155	111
581	155	111
582	155	111
583	155	111
584	156	110
585	156	110
586	156	110
587	156	109
588	157	109
589	157	109
590	157	109
591	157	108
592	158	108
593	158	108
594	158	107
595	158	107
596	159	107
597	159	107
598	159	106
599	159	106
600	160	106
601	160	106
602	160	105
603	161	105
604	161	105
605	161	105
606	162	104
607	162	104
608	162	104
609	162	104
610	163	103
611	163	103
612	163	103
613	163	102
614	164	102
615	164	102
616	164	102
617	164	101
618	164	101
619	165	101
620	165	100
621	165	100
622	166	100
623	166	100
624	166	99
625	166	99
626	167	99
627	167	99
628	167	98
629	167	98
630	168	98
631	168	98
632	168	97
633	168	97
634	169	97
635	169	96
636	169	96
637	169	96
638	170	96
639	170	95
640	170	95
641	171	95
642	171	95
643	172	95
644	172	94
645	172	94
646	173	94
647	173	94
648	173	93
649	174	93
650	174	93
651	174	93
652	174	92
653	175	92
654	175	92
655	175	92
656	176	91
657	176	91
658	176	91
659	176	91
660	177	90
661	177	90
662	177	90
663	177	89
664	178	89
665	178	89
666	178	89
667	178	88
668	179	88
669	179	88
670	179	88
671	180	87
672	180	87
673	180	87
674	180	87
675	181	86
676	181	86
677	181	86
678	181	85
679	182	85
680	182	85
681	182	85
682	182	84
683	183	84
684	183	84
685	183	84
686	183	83
687	184	83
688	184	83
689	184	82
690	184	82
691	185	82
692	185	82
693	185	81
694	185	81
695	186	81
696	186	81
697	186	80
698	187	80
699	187	80
700	187	80
701	187	79
702	188	79
703	188	79
704	188	78
705	188	78
706	189	78
707	189	78
708	189	77
709	190	77
710	190	77
711	190	77
712	190	76
713	191	76
714	191	76
715	191	76
716	191	75
717	192	75
718	192	75
719	192	74
720	193	74
721	193	74
722	193	74
723	193	73
724	194	73
725	194	73
726	194	73
727	195	72
728	195	72
729	195	72
730	195	72
731	196	71
732	196	71
733	196	71
734	196	70
735	197	70
736	197	70
737	197	70
738	197	69
739	198	69
740	198	69
741	198	69
742	199	68
743	199	68
744	199	68
745	199	68
746	200	67
747	200	67
748	200	67
749	200	66
750	201	66
751	201	66
752	201	66
753	202	65
754	202	65
755	202	65
756	202	65
757	202	64
758	203	64
759	203	64
760	203	64
761	204	63
762	204	63
763	204	63
764	204	62
765	205	62
766	205	62
767	205	62
768	206	61
769	206	61
770	206	61
771	206	61
772	207	60
773	207	60
774	207	60
775	207	60
776	208	59
777	208	59
778	208	59
779	208	58
780	209	58
781	209	58
782	209	58
783	209	57
784	210	57
785	210	57
786	210	57
787	211	56
788	211	56
789	211	56
790	211	55
791	212	55
792	212	55
793	212	55
794	212	54
795	213	54
796	213	54
797	213	54
798	214	53
799	214	53
800	214	53
801	214	53
802	215	52
803	215	52
804	215	52
805	215	51
806	216	51
807	216	51
808	216	51
809	216	50
810	217	50
811	217	50
812	217	50
813	218	49
814	218	49
815	218	49
816	218	49
817	219	48
818	219	48
819	219	48
820	219	47
821	220	47
822	220	47
823	220	47
824	221	46
825	221	46
826	221	46
827	221	46
828	222	45
829	222	45
830	222	45
831	222	45
832	223	44
833	223	44
834	223	44
835	224	43
836	224	43
837	224	43
838	224	43
839	225	42
840	225	42
841	225	42
842	226	42
843	226	41
844	226	41
845	226	41
846	227	41
847	227	40
848	227	40
849	227	40
850	228	39
851	228	39
852	228	39
853	228	39
854	229	38
855	229	38
856	229	38
857	229	38
858	230	37
859	230	37
860	230	37
861	230	36
862	231	36
863	231	36
864	231	36
865	231	35
866	232	35
867	232	35
868	232	35
869	232	34
870	233	34
871	233	34
872	233	33
873	233	33
874	234	33
875	234	33
876	234	32
877	234	32
878	235	32
879	235	32
880	235	31
881	235	31
882	236	31
883	236	31
884	236	30
885	236	30
886	237	30
887	237	29
888	237	29
889	238	29
890	238	29
891	238	28
892	238	28
893	239	28
894	239	28
895	239	27
896	240	27
897	240	27
898	240	27
899	241	26
900	241	26
901	241	26
902	241	25
903	242	25
904	242	25
905	242	25
906	242	24
907	243	24
908	243	24
909	243	24
910	244	23
911	244	23
912	244	23
913	244	23
914	245	22
915	245	22
916	245	22
917	245	21
918	246	21
919	246	21
920	246	21
921	247	20
922	247	20
923	247	20
924	247	20
925	248	19
926	248	19
927	248	19
928	248	19
929	249	18
930	249	18
931	249	18
932	249	17
933	250	17
934	250	17
935	250	17
936	250	16
937	251	16
938	251	16
939	251	16
940	252	15
941	252	15
942	252	15
943	252	14
944	253	14
945	253	14
946	253	14
947	253	13
948	254	13
949	254	13
950	254	13
951	254	12
952	255	12
953	255	12
954	255	12
955	255	11
956	256	11
957	256	11
958	256	10
959	257	10
960	257	10
961	257	10
962	257	9
963	258	9
964	258	9
965	258	9
966	258	8
967	259	8
968	259	8
969	259	8
970	260	7
971	260	7
972	260	7
973	260	6
974	261	6
975	261	6
976	261	6
977	261	5
978	262	5
979	262	5
980	262	5
981	262	4
982	263	4
983	263	4
984	263	4
985	263	3
986	264	3
987	264	3
988	264	2
989	265	2
990	265	2
991	265	2
992	265	1
993	266	1
994	266	1
995	266	1
996	266	0
997	267	0
998	267	0
999	267	0
